UnitID,Institution Name,City location of institution (HD2015),Institution open to the general public (HD2015),Applicants total (ADM2015_RV),Admissions total (ADM2015_RV),Enrolled total (ADM2015_RV),,Grand total (C2016_A  First major  Agriculture  Agriculture Operations and Related Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Agriculture  Agriculture Operations and Related Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Agriculture  Agriculture Operations and Related Sciences  Bachelor's degree),Grand total (C2016_A  First major  Natural Resources and Conservation  Bachelor's degree),Grand total men (C2016_A  First major  Natural Resources and Conservation  Bachelor's degree),Grand total women (C2016_A  First major  Natural Resources and Conservation  Bachelor's degree),Grand total (C2016_A  First major  Architecture and Related Services  Bachelor's degree),Grand total men (C2016_A  First major  Architecture and Related Services  Bachelor's degree),Grand total women (C2016_A  First major  Architecture and Related Services  Bachelor's degree),Grand total (C2016_A  First major  Area  Ethnic  Cultural  Gender  and Group Studies  Bachelor's degree),Grand total men (C2016_A  First major  Area  Ethnic  Cultural  Gender  and Group Studies  Bachelor's degree),Grand total women (C2016_A  First major  Area  Ethnic  Cultural  Gender  and Group Studies  Bachelor's degree),Grand total (C2016_A  First major  Communication  Journalism  and Related Programs  Bachelor's degree),Grand total men (C2016_A  First major  Communication  Journalism  and Related Programs  Bachelor's degree),Grand total women (C2016_A  First major  Communication  Journalism  and Related Programs  Bachelor's degree),Grand total (C2016_A  First major  Communications Technologies/Technicians and Support Services  Bachelor's degree),Grand total men (C2016_A  First major  Communications Technologies/Technicians and Support Services  Bachelor's degree),Grand total women (C2016_A  First major  Communications Technologies/Technicians and Support Services  Bachelor's degree),Grand total (C2016_A  First major  Computer and Information Sciences and Support Services  Bachelor's degree),Grand total men (C2016_A  First major  Computer and Information Sciences and Support Services  Bachelor's degree),Grand total women (C2016_A  First major  Computer and Information Sciences and Support Services  Bachelor's degree),Grand total (C2016_A  First major  Personal and Culinary Services  Bachelor's degree),Grand total men (C2016_A  First major  Personal and Culinary Services  Bachelor's degree),Grand total women (C2016_A  First major  Personal and Culinary Services  Bachelor's degree),Grand total (C2016_A  First major  Education  Bachelor's degree),Grand total men (C2016_A  First major  Education  Bachelor's degree),Grand total women (C2016_A  First major  Education  Bachelor's degree),Grand total (C2016_A  First major  Engineering  Bachelor's degree),Grand total men (C2016_A  First major  Engineering  Bachelor's degree),Grand total women (C2016_A  First major  Engineering  Bachelor's degree),Grand total (C2016_A  First major  Engineering Technologies and Engineering-related Fields  Bachelor's degree),Grand total men (C2016_A  First major  Engineering Technologies and Engineering-related Fields  Bachelor's degree),Grand total women (C2016_A  First major  Engineering Technologies and Engineering-related Fields  Bachelor's degree),Grand total (C2016_A  First major  Foreign Languages  Literatures  and Linguistics  Bachelor's degree),Grand total men (C2016_A  First major  Foreign Languages  Literatures  and Linguistics  Bachelor's degree),Grand total women (C2016_A  First major  Foreign Languages  Literatures  and Linguistics  Bachelor's degree),Grand total (C2016_A  First major  Family and Consumer Sciences/Human Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Family and Consumer Sciences/Human Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Family and Consumer Sciences/Human Sciences  Bachelor's degree),Grand total (C2016_A  First major  Legal Professions and Studies  Bachelor's degree),Grand total men (C2016_A  First major  Legal Professions and Studies  Bachelor's degree),Grand total women (C2016_A  First major  Legal Professions and Studies  Bachelor's degree),Grand total (C2016_A  First major  English Language and Literature/Letters  Bachelor's degree),Grand total men (C2016_A  First major  English Language and Literature/Letters  Bachelor's degree),Grand total women (C2016_A  First major  English Language and Literature/Letters  Bachelor's degree),Grand total (C2016_A  First major  Liberal Arts and Sciences  General Studies and Humanities  Bachelor's degree),Grand total men (C2016_A  First major  Liberal Arts and Sciences  General Studies and Humanities  Bachelor's degree),Grand total women (C2016_A  First major  Liberal Arts and Sciences  General Studies and Humanities  Bachelor's degree),Grand total (C2016_A  First major  Library Science  Bachelor's degree),Grand total men (C2016_A  First major  Library Science  Bachelor's degree),Grand total women (C2016_A  First major  Library Science  Bachelor's degree),Grand total (C2016_A  First major  Biological and Biomedical Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Biological and Biomedical Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Biological and Biomedical Sciences  Bachelor's degree),Grand total (C2016_A  First major  Mathematics and Statistics  Bachelor's degree),Grand total men (C2016_A  First major  Mathematics and Statistics  Bachelor's degree),Grand total women (C2016_A  First major  Mathematics and Statistics  Bachelor's degree),Grand total (C2016_A  First major  Military Technologies and Applied Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Military Technologies and Applied Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Military Technologies and Applied Sciences  Bachelor's degree),Grand total (C2016_A  First major  Multi/Interdisciplinary Studies  Bachelor's degree),Grand total men (C2016_A  First major  Multi/Interdisciplinary Studies  Bachelor's degree),Grand total women (C2016_A  First major  Multi/Interdisciplinary Studies  Bachelor's degree),Grand total (C2016_A  First major  Parks  Recreation  Leisure and Fitness Studies  Bachelor's degree),Grand total men (C2016_A  First major  Parks  Recreation  Leisure and Fitness Studies  Bachelor's degree),Grand total women (C2016_A  First major  Parks  Recreation  Leisure and Fitness Studies  Bachelor's degree),Grand total (C2016_A  First major  Philosophy and Religious Studies  Bachelor's degree),Grand total men (C2016_A  First major  Philosophy and Religious Studies  Bachelor's degree),Grand total women (C2016_A  First major  Philosophy and Religious Studies  Bachelor's degree),Grand total (C2016_A  First major  Theology and Religious Vocations  Bachelor's degree),Grand total men (C2016_A  First major  Theology and Religious Vocations  Bachelor's degree),Grand total women (C2016_A  First major  Theology and Religious Vocations  Bachelor's degree),Grand total (C2016_A  First major  Physical Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Physical Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Physical Sciences  Bachelor's degree),Grand total (C2016_A  First major  Science Technologies/Technicians  Bachelor's degree),Grand total men (C2016_A  First major  Science Technologies/Technicians  Bachelor's degree),Grand total women (C2016_A  First major  Science Technologies/Technicians  Bachelor's degree),Grand total (C2016_A  First major  Psychology  Bachelor's degree),Grand total men (C2016_A  First major  Psychology  Bachelor's degree),Grand total women (C2016_A  First major  Psychology  Bachelor's degree),Grand total (C2016_A  First major  Homeland Security  Law Enforcement  Firefighting  and Related Protective Service  Bachelor's degree),Grand total men (C2016_A  First major  Homeland Security  Law Enforcement  Firefighting  and Related Protective Service  Bachelor's degree),Grand total women (C2016_A  First major  Homeland Security  Law Enforcement  Firefighting  and Related Protective Service  Bachelor's degree),Grand total (C2016_A  First major  Public Administration and Social Service Professions  Bachelor's degree),Grand total men (C2016_A  First major  Public Administration and Social Service Professions  Bachelor's degree),Grand total women (C2016_A  First major  Public Administration and Social Service Professions  Bachelor's degree),Grand total (C2016_A  First major  Social Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Social Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Social Sciences  Bachelor's degree),Grand total (C2016_A  First major  Construction Trades  Bachelor's degree),Grand total men (C2016_A  First major  Construction Trades  Bachelor's degree),Grand total women (C2016_A  First major  Construction Trades  Bachelor's degree),Grand total (C2016_A  First major  Mechanic and Repair Technologies/Technicians  Bachelor's degree),Grand total men (C2016_A  First major  Mechanic and Repair Technologies/Technicians  Bachelor's degree),Grand total women (C2016_A  First major  Mechanic and Repair Technologies/Technicians  Bachelor's degree),Grand total (C2016_A  First major  Precision Production  Bachelor's degree),Grand total men (C2016_A  First major  Precision Production  Bachelor's degree),Grand total women (C2016_A  First major  Precision Production  Bachelor's degree),Grand total (C2016_A  First major  Transportation and Materials Moving  Bachelor's degree),Grand total men (C2016_A  First major  Transportation and Materials Moving  Bachelor's degree),Grand total women (C2016_A  First major  Transportation and Materials Moving  Bachelor's degree),Grand total (C2016_A  First major  Visual and Performing Arts  Bachelor's degree),Grand total men (C2016_A  First major  Visual and Performing Arts  Bachelor's degree),Grand total women (C2016_A  First major  Visual and Performing Arts  Bachelor's degree),Grand total (C2016_A  First major  Health Professions and Related Programs  Bachelor's degree),Grand total men (C2016_A  First major  Health Professions and Related Programs  Bachelor's degree),Grand total women (C2016_A  First major  Health Professions and Related Programs  Bachelor's degree),Grand total (C2016_A  First major  Business  Management  Marketing  and Related Support Services  Bachelor's degree),Grand total men (C2016_A  First major  Business  Management  Marketing  and Related Support Services  Bachelor's degree),Grand total women (C2016_A  First major  Business  Management  Marketing  and Related Support Services  Bachelor's degree),Grand total (C2016_A  First major  History  Bachelor's degree),Grand total men (C2016_A  First major  History  Bachelor's degree),Grand total women (C2016_A  First major  History  Bachelor's degree),Grand total (C2016_A  First major  Grand total  Bachelor's degree),Grand total men (C2016_A  First major  Grand total  Bachelor's degree),Grand total women (C2016_A  First major  Grand total  Bachelor's degree)
419147,Ailano School of Cosmetology,Brockton,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476735,Alexander Academy,Fitchburg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487144,American Academy of Personal Training-Boston Campus,Boston,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164447,American International College,Springfield,1,2060,1301,355,,,,,,,,,,,,,,12,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,15,4,11,,,,10,1,9,,,,,,,3,1,2,11,9,2,,,,,,,2,1,1,,,,20,4,16,30,18,12,1,0,1,15,6,9,,,,,,,,,,,,,2,1,1,105,20,85,45,33,12,3,3,0,279,111,168
164465,Amherst College,Amherst,1,8568,1210,477,,,,,14,5,9,5,3,2,37,11,26,,,,,,,22,16,6,,,,,,,,,,,,,10,3,7,,,,13,6,7,39,16,23,,,,,,,38,18,20,33,19,14,,,,4,1,3,,,,7,6,1,,,,22,13,9,,,,31,12,19,,,,,,,104,70,34,,,,,,,,,,,,,24,8,16,,,,,,,29,17,12,432,224,208
164474,Andover Newton Theological School,Newton Centre,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164492,Anna Maria College,Paxton,1,1785,1429,235,,,,,4,3,1,,,,,,,0,0,0,,,,,,,,,,4,0,4,,,,,,,,,,,,,1,0,1,1,0,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,5,2,3,74,58,16,25,4,21,3,2,1,,,,,,,,,,,,,7,4,3,126,17,109,16,11,5,1,0,1,271,103,168
164535,Assabet Valley Regional Technical School,Marlborough,1,25,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164562,Assumption College,Worcester,1,4771,3614,570,,,,,6,1,5,,,,0,0,0,19,12,7,,,,6,4,2,,,,0,0,0,,,,,,,6,2,4,,,,,,,48,7,41,3,1,2,,,,54,15,39,21,6,15,,,,1,0,1,,,,3,3,0,1,0,1,7,4,3,,,,36,7,29,,,,0,0,0,49,30,19,,,,,,,,,,,,,11,4,7,90,9,81,117,71,46,22,8,14,500,184,316
164580,Babson College,Wellesley,1,7516,1977,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,275,257,,,,532,275,257
164599,Bancroft School of Massage Therapy,Worcester,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167792,Bard College at Simon's Rock,Great Barrington,1,199,178,117,,,,,2,0,2,,,,3,0,3,,,,,,,1,1,0,,,,,,,4,3,1,,,,1,0,1,,,,,,,4,1,3,0,0,0,,,,3,1,2,5,3,2,,,,2,0,2,,,,3,2,1,,,,2,1,1,,,,1,0,1,,,,,,,5,1,4,,,,,,,,,,,,,14,8,6,0,0,0,,,,1,0,1,51,21,30
164632,Bay Path University,Longmeadow,1,1148,887,178,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,56,,,,,,,,,,,,,25,0,25,,,,28,0,28,,,,24,0,24,,,,,,,1,0,1,,,,,,,,,,,,,,,,89,0,89,32,0,32,,,,,,,,,,,,,,,,,,,3,0,3,49,0,49,121,0,121,,,,428,0,428
164641,Bay State College,Boston,1,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,11,20,,,,,,,,,,,,,,,,,,,13,5,8,27,1,26,65,14,51,,,,137,32,105
164678,Bay State School of Technology,Canton,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487782,BCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489186,BCI - Malden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164720,Becker College,Worcester,1,3268,2186,415,,6,0,6,,,,,,,,,,1,0,1,1,1,0,0,0,0,,,,5,1,4,,,,,,,,,,,,,1,0,1,,,,7,3,4,,,,7,2,5,,,,,,,,,,29,20,9,,,,,,,,,,,,,53,10,43,32,23,9,,,,,,,,,,,,,,,,,,,120,104,16,68,5,63,53,21,32,,,,383,190,193
165884,Benjamin Franklin Institute of Technology,Boston,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,1,,,,,,,,,,4,3,1,,,,,,,15,13,2
164739,Bentley University,Waltham,1,8346,3532,915,,,,,,,,,,,,,,5,3,2,,,,57,33,24,,,,,,,,,,,,,1,0,1,,,,0,0,0,0,0,0,3,1,2,,,,,,,15,7,8,,,,2,0,2,,,,2,2,0,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,,,,,,,,2,0,2,969,554,415,0,0,0,1059,601,458
164748,Berklee College of Music,Boston,1,8071,2325,947,,,,,,,,,,,,,,,,,,,,,,,,,,23,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963,629,334,29,6,23,,,,,,,1015,647,368
164775,Berkshire Community College,Pittsfield,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457615,Blackstone Valley Vocational Regional School District,Upton,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243799,Blue Hills Regional Technical School,Canton,1,11,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164872,Boston Architectural College,Boston,1,,,,,,,,,,,55,38,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,38,17
164614,Boston Baptist College,Boston,1,13,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,15,4
164924,Boston College,Chestnut Hill,1,29486,8405,2162,,,,,28,9,19,,,,0,0,0,151,37,114,,,,58,42,16,,,,90,2,88,,,,,,,14,7,7,,,,,,,112,40,72,,,,,,,233,112,121,50,24,26,,,,77,29,48,,,,32,22,10,12,8,4,49,38,11,,,,265,63,202,1,1,0,,,,427,241,186,,,,,,,,,,,,,47,21,26,97,1,96,512,348,164,66,36,30,2321,1081,1240
