fips,adult_pop,female_pop,male_pop,median_age,population,pct_poverty,median_income,pct_highschool,pct_unemployed
1001,41890,28422,26994,38.6,55416,13.5,54487,87.6,3.4
1003,163233,107322,101241,42.9,208563,11.7,56460,90,3.7
1005,20477,12186,13779,40.1,25965,29.9,32884,73.8,6.2
1007,17944,10498,12145,39.6,22643,20.1,43079,80.7,3.5
1009,44322,29206,28498,41.1,57704,14.1,47213,80,3
1011,8155,4762,5600,39.4,10362,32.6,34278,66.6,7.5
1013,15284,10676,9322,40.6,19998,24.8,35409,81.1,5.3
1015,89591,59473,55138,39.8,114611,17.1,41778,82.3,6.7
1017,26670,17600,16243,42.6,33843,19.9,39530,80.3,4.1
1019,20625,12956,12769,46.2,25725,16.8,41456,81.3,3
1021,33378,22336,21605,39.4,43941,18.3,44188,80.1,4.4
1023,10356,6813,6180,45.7,12993,22.7,32691,78.9,6.2
1025,19039,12853,11539,42.3,24392,29,34061,81,8.4
1027,10690,6876,6616,44.1,13492,18.9,38512,74.6,3.5
1029,11478,7503,7421,42.3,14924,17.2,43483,74.2,3.8
1031,39062,25907,25319,39.3,51226,14.4,48632,85.1,3.5
1033,42724,28058,26158,42.6,54216,16.7,46572,83.4,4.1
1035,9778,6434,5961,44.5,12395,28.1,29758,79.4,9.6
1037,8728,5212,5369,47.2,10581,17.5,36441,72.9,5.9
1039,29229,19385,18073,43.2,37458,19.6,35010,80.9,5.7
1041,10706,7119,6794,41.7,13913,20.5,37374,78.3,4.1
1043,63929,41740,40731,41,82471,14.9,41543,82.2,3.2
1045,37850,24962,24264,37.9,49226,20.6,40523,85.8,5.5
1047,30154,21528,18480,38.8,40008,35.4,30488,79,7.8
1049,53560,35814,35086,39.3,70900,20.5,37128,72.6,3.4
1051,63338,42134,39665,38.6,81799,13.5,54553,86.8,4.2
1053,29359,18344,19384,39.9,37728,23.3,35096,80.5,7.1
1055,80238,52918,49646,41.7,102564,17.5,40972,82.5,4.6
1057,13043,8367,8179,43.8,16546,20.3,38403,79.2,4.4
1059,23924,15835,15793,38.8,31628,20.1,37049,75.7,5.4
1061,20736,13546,13068,43.3,26614,20.9,36976,77.7,5.5
1063,6513,4421,4001,42.2,8422,34,26559,76.9,7.7
1065,11394,7892,7060,40.5,14952,23.7,35381,81.4,5.7
1067,13592,8860,8304,44.4,17164,18.7,41426,80.7,4.1
1069,79685,54194,49862,39.6,104056,19.4,42910,84.9,4.7
1071,41102,26480,25658,43.4,52138,17.5,41407,79.5,4.6
1073,507704,347409,312112,37.7,659521,15.3,50109,89,5.1
1075,10948,7136,6782,44.4,13918,18.6,38358,77.4,4.7
1077,73777,48185,44133,41.4,92318,15.2,44124,84.9,4.3
1079,25985,17017,16227,42.5,33244,16.8,43107,77.5,4.3
1081,124914,80598,78393,31.3,158991,18.3,47749,88.7,3.7
1083,71383,46275,46478,39.6,92753,12.8,52181,83.2,4.6
1085,8015,5463,4895,41.6,10358,31.7,32011,74.8,6
1087,15675,10318,8645,38.6,18963,30,30681,80.5,8.1
1089,278157,182725,174242,38.5,356967,13.5,61193,90.8,4.7
1091,15201,10374,9299,42,19673,25.8,34794,83.9,6.8
1093,23671,15098,14900,44,29998,18.5,36386,79.9,4
1095,71645,48230,46927,39,95157,21,42117,78.6,4
1097,316518,216639,198197,37.5,414836,19.5,45233,85.8,5
1099,16645,11262,10268,42.3,21530,25.7,36639,82,10.4
1101,173781,119329,107020,36.4,226349,18.8,45111,85.5,5.2
1103,91776,60456,58556,40.5,119012,15.8,46843,82.5,5.2
1105,7509,5065,4509,37.7,9574,35,25221,76.4,4.3
1107,16275,10168,10156,41.9,20324,25.8,35968,81.1,5.9
1109,26901,17378,15908,31.1,33286,25.1,35172,80,5.7
1111,17690,11657,10995,43.4,22652,21.8,40283,77.3,4
1113,43597,29997,28175,35.9,58172,19.3,38617,82.6,5.4
1115,67938,44070,43949,40.1,88019,12,57856,83.5,3.8
1117,160133,108441,102181,38.8,210622,7.9,74212,91.6,3.1
1119,10460,7103,5937,36.5,13040,32.4,26814,80,7.2
1121,62697,41325,38778,41.2,80103,18,40555,79.8,6.5
1123,32157,20923,19804,44.5,40727,20.2,40169,79.6,5
1125,162931,106829,99273,32.7,206102,17.6,47483,88.1,4.1
1127,50570,33251,31716,42.3,64967,20.5,39511,78.6,5.6
1129,12902,8547,8209,41.7,16756,18.2,37575,79.7,8
1131,8301,5758,5228,40.3,10986,31.9,24216,79.9,8.4
1133,18845,12056,11749,45,23805,17.3,38644,76,4.4
2000,,,,,,,,,
2013,3003,1060,2236,42.3,3296,14.8,63991,84.4,2.3
2016,4989,1863,3784,41.7,5647,8,78151,87.5,0.9
2020,224225,146093,152099,33.3,298192,7.2,83959,93.3,4.2
2050,11513,8687,9281,26.9,17968,25.5,46634,80.9,11.9
2060,726,413,485,40.9,898,11.4,68026,92.6,4.2
2068,1599,888,1065,40.7,1953,6.3,72378,96.2,0.9
2070,3394,2434,2520,29.5,4954,19.6,52250,86.8,6.9
2090,76087,46194,54411,30.7,100605,8.5,73427,94.4,5.6
2100,2046,1263,1233,48.7,2496,10.3,53471,95.5,2.5
2105,1672,995,1083,47.8,2078,19.1,53884,90.6,6.8
2110,25340,15946,16522,37.5,32468,7.4,82011,95.6,3.6
2122,45173,27870,30636,40.5,58506,12,68501,92.7,5.3
2130,10687,6657,7089,39.7,13746,9.2,67125,92,5.1
2150,10129,6443,7289,34,13732,7.3,74683,90.7,2.6
2164,1118,752,810,32.7,1562,20.9,44310,86.3,7.9
2170,76002,49795,54570,34.8,104365,9.5,71793,92.4,6.2
2180,6412,4710,5207,27.7,9917,24,55974,84.9,11.1
2185,7110,3608,5998,34.5,9606,11.9,74998,88.4,8
2188,4924,3518,4155,26.8,7673,27.8,53692,79.1,14.2
2195,2438,1488,1661,39.9,3149,8.4,60540,92.4,4
2198,4811,2884,3463,40,6347,17.5,48888,90.5,8.8
2220,6863,4277,4553,38.9,8830,7.9,72795,92.6,3.1
2230,933,524,564,39.6,1088,4.4,65112,96.5,5.6
2240,5108,3069,3807,37.2,6876,11.8,59412,90.7,5.9
2261,7120,4481,4874,38.7,9355,9.2,69755,92.8,6
2270,,,,,,,,,
2275,1910,1166,1245,47.5,2411,11.5,56747,88.1,4.3
2282,480,263,338,41.5,601,16.8,57687,94.5,5.4
2290,3994,2573,2953,35.5,5526,23,37906,82.9,11.2
4001,52072,37159,35953,34.3,73112,33.2,34040,78.2,6.4
4003,98064,61641,64129,41.1,125770,21.1,45151,86.6,3.9
4005,111071,71462,69446,31,140908,17.8,53643,88.9,5.3
4007,42625,26983,26573,49.9,53556,20.3,40747,84.3,5.7
4009,27105,17457,20142,32.7,37599,22.9,46714,85.4,7.2
4011,6894,4646,4967,33.6,9613,12,61110,87.9,5
4012,16814,9957,10360,55.9,20317,24.8,34285,75.2,4.4
4013,3202884,2145005,2097992,36.3,4242997,15,58742,86.9,4.3
4015,168411,101898,103351,51.1,205249,18.3,42003,83.9,5.2
4017,79959,54818,55208,36.7,110026,28.2,37440,81.5,9
4019,798710,516727,499479,38.7,1016206,18.2,47644,87.7,5.4
4021,320383,201176,217364,39.3,418540,15.4,52642,84.9,4.7
4023,33273,24002,21983,37,45985,20.9,39090,74.8,5.4
4025,187886,115491,110071,53.3,225562,13.3,49824,90.2,4.2
4027,153428,99754,105877,34.6,205631,19.3,42998,71.7,6.6
5001,14046,9427,8787,41.6,18214,18.1,39726,82.5,5.5
5003,15723,10519,9973,42.3,20492,17.9,41277,83.9,5.4
5005,33778,21172,19890,52.1,41062,12.7,40147,87.2,2.9
5007,189336,130195,128096,35.4,258291,9.1,64072,87.2,2.2
5009,28929,18905,18399,42.3,37304,15.4,39881,85,4.7
5011,8370,5628,5368,40.8,10996,23.5,34114,79.9,5.7
5013,4200,2546,2598,46.3,5144,17.1,33507,83.2,3.8
5015,21561,14041,13605,44.7,27646,17.2,37145,83.8,3.3
5017,8444,5513,5432,42.5,10945,30.1,29527,80.1,5
5019,18318,11892,10765,33.3,22657,22.3,37247,86.5,4.6
5021,11809,7616,7304,44,14920,19.1,36037,79.1,3.8
5023,20416,12795,12469,48.7,25264,16.3,42397,83.3,4.3
5025,6377,4191,4050,42.7,8241,15.8,45256,86.1,4.7
5027,18905,12357,11544,35.8,23901,24.2,35322,85.2,5.3
5029,16145,10654,10283,42,20937,18.9,41892,85,3.9
5031,79522,54308,51527,34.1,105835,16.2,44091,88,4
5033,46926,31559,30708,39.1,62267,16.8,42941,85.3,4
5035,35507,25744,23491,34.8,49235,25.5,37627,81.8,5.5
5037,12924,8808,8229,40.5,17037,19.4,40970,80.7,4.2
5039,5842,3811,3658,44.6,7469,20.8,33679,83.4,3.7
5041,8833,6281,5595,39.7,11876,26.5,32392,76.1,6.8
5043,14558,9609,9042,36.6,18651,19.2,40441,81.7,7.3
5045,93585,62397,59830,32.5,122227,16,50909,91.1,3.7
5047,13525,8830,8796,41,17626,17.9,40091,81.1,4.5
5049,9624,6113,6010,48.7,12123,23.2,33451,83.9,3.4
5051,77391,50514,46963,44.6,97477,17.8,42087,88.4,5
5053,13924,9082,9.00E+03,41,18082,11.5,54411,90,4.6
5055,33588,22636,21962,38,44598,15.3,45208,85.3,4.7
5057,16259,11368,10606,39.2,21974,20.7,38769,78.7,4.6
5059,26435,15926,17448,41.7,33374,14.7,46313,85.9,3.7
5061,9912,6931,6446,38.8,13377,18.7,36166,79.4,4.2
5063,28258,19047,18121,39.5,37168,15.9,42520,84.5,3.9
